split,held_out,subset,model,n_test,rmse,mae,r2,pearson,spearman
lodo_000,RUXOLITINIB,central_abs_le_100,mean,5830,6.73202309800571,4.645283435963088,-0.042656089292011146,,
lodo_000,RUXOLITINIB,exactly_one_unseen,mean,5831,6.971504996669575,4.668238482615239,-0.04110026758064467,,
lodo_000,RUXOLITINIB,all,median,5831,6.9715724668948,4.668302243754645,-0.04112041921489773,,
lodo_000,RUXOLITINIB,central_abs_le_100,median,5830,6.732091782213916,4.6453471497998855,-0.0426773650280583,,
lodo_000,RUXOLITINIB,exactly_one_unseen,median,5831,6.9715724668948,4.668302243754645,-0.04112041921489773,,
lodo_000,RUXOLITINIB,all,ridge_identity,5831,6.534048324449059,4.3581309505922015,0.08545694441982676,0.4006586574992971,0.38554782080949457
lodo_000,RUXOLITINIB,central_abs_le_100,ridge_identity,5830,6.285499866485978,4.335473621906712,0.09107189570095875,0.4103782650341564,0.38527286225061597
lodo_000,RUXOLITINIB,exactly_one_unseen,ridge_identity,5831,6.534048324449059,4.3581309505922015,0.08545694441982676,0.4006586574992971,0.38554782080949457
lodo_000,RUXOLITINIB,all,ridge_identity_clip_train,5831,6.534048324449059,4.3581309505922015,0.08545694441982676,0.4006586574992971,0.38554782080949457
lodo_000,RUXOLITINIB,central_abs_le_100,ridge_identity_clip_train,5830,6.285499866485978,4.335473621906712,0.09107189570095875,0.4103782650341564,0.38527286225061597
lodo_000,RUXOLITINIB,exactly_one_unseen,ridge_identity_clip_train,5831,6.534048324449059,4.3581309505922015,0.08545694441982676,0.4006586574992971,0.38554782080949457
lodo_000,RUXOLITINIB,all,xgboost_identity,5831,6.73374916417955,4.520515119423801,0.02870010576948545,0.36020965151175904,0.33353878639347007
lodo_000,RUXOLITINIB,central_abs_le_100,xgboost_identity,5830,6.490224510048858,4.497759421217776,0.030898357803105125,0.3674543136517348,0.33317785818515966
lodo_000,RUXOLITINIB,exactly_one_unseen,xgboost_identity,5831,6.73374916417955,4.520515119423801,0.02870010576948545,0.36020965151175904,0.33353878639347007
lodo_000,RUXOLITINIB,all,xgboost_identity_clip_train,5831,6.73374916417955,4.520515119423801,0.02870010576948545,0.36020965151175904,0.33353878639347007
lodo_000,RUXOLITINIB,central_abs_le_100,xgboost_identity_clip_train,5830,6.490224510048858,4.497759421217776,0.030898357803105125,0.3674543136517348,0.33317785818515966
lodo_000,RUXOLITINIB,exactly_one_unseen,xgboost_identity_clip_train,5831,6.73374916417955,4.520515119423801,0.02870010576948545,0.36020965151175904,0.33353878639347007
lodo_000,RUXOLITINIB,all,ridge_chemical_cell,5831,6.54221745043684,4.431213601130514,0.08316871900366163,0.2927759576111284,0.24778056573331833
lodo_000,RUXOLITINIB,central_abs_le_100,ridge_chemical_cell,5830,6.305946912756308,4.409127388273862,0.0851486997107771,0.29551137581706577,0.2474039676660036
lodo_000,RUXOLITINIB,exactly_one_unseen,ridge_chemical_cell,5831,6.54221745043684,4.431213601130514,0.08316871900366163,0.2927759576111284,0.24778056573331833
lodo_000,RUXOLITINIB,all,ridge_chemical_cell_clip_train,5831,6.54221745043684,4.431213601130514,0.08316871900366163,0.2927759576111284,0.24778056573331833
lodo_000,RUXOLITINIB,central_abs_le_100,ridge_chemical_cell_clip_train,5830,6.305946912756308,4.409127388273862,0.0851486997107771,0.29551137581706577,0.2474039676660036
lodo_000,RUXOLITINIB,exactly_one_unseen,ridge_chemical_cell_clip_train,5831,6.54221745043684,4.431213601130514,0.08316871900366163,0.2927759576111284,0.24778056573331833
lodo_000,RUXOLITINIB,all,xgboost_chemical_cell,5831,6.683364276142547,4.4799698784966555,0.04318111604419561,0.3149089931696794,0.3378272418149025
lodo_000,RUXOLITINIB,central_abs_le_100,xgboost_chemical_cell,5830,6.4403728757419225,4.457322403592868,0.045728587552498645,0.32094781285645535,0.33749862043082335
lodo_000,RUXOLITINIB,exactly_one_unseen,xgboost_chemical_cell,5831,6.683364276142547,4.4799698784966555,0.04318111604419561,0.3149089931696794,0.3378272418149025
lodo_000,RUXOLITINIB,all,xgboost_chemical_cell_clip_train,5831,6.683364276142547,4.4799698784966555,0.04318111604419561,0.3149089931696794,0.3378272418149025
