evaluation,subset,model,rmse,mae,r2,pearson,spearman
lodo_macro,all,mean,6.134073926880937,4.266499285436252,-0.053657428246189263,,
lodo_macro,all,median,6.130894052066166,4.263917761545658,-0.05277626619343989,,
lodo_macro,all,ridge_chemical_cell,6.293631585034812,4.542039804378982,-0.11992055750926318,0.1717187652918414,0.16793997861653315
lodo_macro,all,ridge_chemical_cell_clip_train,6.296593387642638,4.5450395285036445,-0.12084964314918063,0.1714971722121866,0.1677487923328757
lodo_macro,all,ridge_identity,6.023459419231476,4.227539305465745,-0.01899626526305894,0.2145218096803274,0.20011797613704435
lodo_macro,all,ridge_identity_clip_train,6.0233880925995615,4.227486152302637,-0.01897199829397105,0.21452783678847517,0.20011559101344262
lodo_macro,all,xgboost_cell_only_clip_train,6.090058739970033,4.242253659988916,-0.038225371515459836,0.13038165156128062,0.12027177690042141
lodo_macro,all,xgboost_chemical_cell,6.0392373584040815,4.246943902161504,-0.02426818701777349,0.15835810331387828,0.1589499122624401
lodo_macro,all,xgboost_chemical_cell_clip_train,6.032007908250451,4.243273347846443,-0.021993047823285827,0.15914993076428036,0.1592859162356222
lodo_macro,all,xgboost_chemical_only_clip_train,6.0627786525085146,4.257336899298922,-0.03363672724247756,0.13424521678110174,0.14369500899128015
lodo_macro,all,xgboost_identity,6.062455772721979,4.231170525005601,-0.03039115431292766,0.15949785203641936,0.1430592757036569
lodo_macro,all,xgboost_identity_clip_train,6.062314220773728,4.231189375700305,-0.030351972664552262,0.1598341696380027,0.1440947448750967
lodo_macro,central_abs_le_100,mean,6.110125737014551,4.2642037807710365,-0.05381301041732591,,
lodo_macro,central_abs_le_100,median,6.106945983598078,4.2616222521501825,-0.05293196077475595,,
lodo_macro,central_abs_le_100,ridge_chemical_cell,6.270004531266759,4.539831183093317,-0.11972255943855163,0.17199230711243513,0.16790231880980167
lodo_macro,central_abs_le_100,ridge_chemical_cell_clip_train,6.272966333874585,4.542830907217979,-0.12065164507846908,0.17177071403278035,0.16771113252614425
lodo_macro,central_abs_le_100,ridge_identity,5.998604573435168,4.225273572597196,-0.018434770134945745,0.21549377043381335,0.2000904802811565
lodo_macro,central_abs_le_100,ridge_identity_clip_train,5.9985332468032535,4.2252204194340885,-0.01841050316585785,0.2154997975419611,0.20008809515755477
lodo_macro,central_abs_le_100,xgboost_cell_only_clip_train,6.0659706487820335,4.239958750807063,-0.03828651855229766,0.13087304466285102,0.12027398791169805
lodo_macro,central_abs_le_100,xgboost_chemical_cell,6.014938218364019,4.244679154671124,-0.02401343986694319,0.1589619852825559,0.15891705012403218
lodo_macro,central_abs_le_100,xgboost_chemical_cell_clip_train,6.007708768210388,4.241008600356064,-0.021738300672455524,0.15975381273295794,0.15925305409721427
lodo_macro,central_abs_le_100,xgboost_chemical_only_clip_train,6.038351264422924,4.255071453634329,-0.03331256467285435,0.13493854200887598,0.1436608920632766
lodo_macro,central_abs_le_100,xgboost_identity,6.038103307308909,4.228894955184999,-0.030171329109565694,0.16022231825041694,0.14302318288282587
lodo_macro,central_abs_le_100,xgboost_identity_clip_train,6.037961755360659,4.228913805879702,-0.030132147461190296,0.16055863585200028,0.14405865205426566
lodo_macro,exactly_one_unseen,mean,6.134073926880937,4.266499285436252,-0.053657428246189263,,
lodo_macro,exactly_one_unseen,median,6.130894052066166,4.263917761545658,-0.05277626619343989,,
lodo_macro,exactly_one_unseen,ridge_chemical_cell,6.293631585034812,4.542039804378982,-0.11992055750926318,0.1717187652918414,0.16793997861653315
lodo_macro,exactly_one_unseen,ridge_chemical_cell_clip_train,6.296593387642638,4.5450395285036445,-0.12084964314918063,0.1714971722121866,0.1677487923328757
lodo_macro,exactly_one_unseen,ridge_identity,6.023459419231476,4.227539305465745,-0.01899626526305894,0.2145218096803274,0.20011797613704435
lodo_macro,exactly_one_unseen,ridge_identity_clip_train,6.0233880925995615,4.227486152302637,-0.01897199829397105,0.21452783678847517,0.20011559101344262
lodo_macro,exactly_one_unseen,xgboost_cell_only_clip_train,6.090058739970033,4.242253659988916,-0.038225371515459836,0.13038165156128062,0.12027177690042141
lodo_macro,exactly_one_unseen,xgboost_chemical_cell,6.0392373584040815,4.246943902161504,-0.02426818701777349,0.15835810331387828,0.1589499122624401
lodo_macro,exactly_one_unseen,xgboost_chemical_cell_clip_train,6.032007908250451,4.243273347846443,-0.021993047823285827,0.15914993076428036,0.1592859162356222
