evaluation,model,rmse,mae,r2,pearson,spearman
lodo_macro,mean,70.44403320517564,69.89443948465586,-91.28010498621617,,
lodo_macro,ridge_identity,786.0044013272395,413.3816583211409,-7344.816847069266,0.015564438229878224,0.021969160581332595
random,mean,4023.018456089098,123.76496956542083,-4.109088938841765e-05,,
random,ridge_identity,4123.188889470949,179.47628793199567,-0.05046178360092468,0.09768115569792454,0.06775016889722663
