split,model,n_test,rmse,mae,r2,pearson,spearman
random,mean,81093,4023.018456089098,123.76496956542083,-4.109088938841765e-05,,
random,ridge_identity,81093,4123.188889470949,179.47628793199567,-0.05046178360092468,0.09768115569792454,0.06775016889722663
lodo_000,mean,9660,69.34180873318982,67.6110360398431,-8.91827138454185,,
lodo_000__1_unseen,mean,9660,69.34180873318982,67.6110360398431,-8.91827138454185,,
lodo_000,ridge_identity,9660,2854.149149240085,556.1953491652794,-16802.47036646293,0.08959248733808953,-0.08808175208400401
lodo_000__1_unseen,ridge_identity,9660,2854.149149240085,556.1953491652794,-16802.47036646293,0.08959248733808953,-0.08808175208400401
lodo_001,mean,9253,69.02714364117593,68.24326571996903,-42.163253550391964,,
lodo_001__1_unseen,mean,8562,69.57704102622644,68.92825274347688,-51.694223942738944,,
lodo_001__2_unseen,mean,691,61.80896626316962,59.755770936649135,-13.655324152788562,,
lodo_001,ridge_identity,9253,1735.0014463148261,451.9709071576605,-27268.303818536937,0.07310105537492485,0.0367297829226769
lodo_001__1_unseen,ridge_identity,8562,1792.4163242710797,431.35041523030253,-34970.06703454079,0.07123435332509098,-0.0559406862875677
lodo_001__2_unseen,ridge_identity,691,707.6582301688811,707.474021314013,-1920.054085843971,,
lodo_002,mean,7609,71.33776497943767,70.66316128525878,-41.04148014235701,,
lodo_002__1_unseen,mean,7609,71.33776497943767,70.66316128525878,-41.04148014235701,,
lodo_002,ridge_identity,7609,419.70158160132974,392.1287240557642,-1454.1917097690646,0.006854490217480566,-0.03192931396067729
lodo_002__1_unseen,ridge_identity,7609,419.70158160132974,392.1287240557642,-1454.1917097690646,0.006854490217480566,-0.03192931396067729
lodo_003,mean,7555,70.21818430408332,69.86188282421759,-97.78823434428314,,
lodo_003__1_unseen,mean,7555,70.21818430408332,69.86188282421759,-97.78823434428314,,
lodo_003,ridge_identity,7555,388.9834558205283,388.62950249464126,-3030.5748354077023,-0.0080048557318547,0.008434147260493538
lodo_003__1_unseen,ridge_identity,7555,388.9834558205283,388.62950249464126,-3030.5748354077023,-0.0080048557318547,0.008434147260493538
lodo_004,mean,7535,69.68868718960283,69.4617616510743,-152.8000866842569,,
lodo_004__1_unseen,mean,7535,69.68868718960283,69.4617616510743,-152.8000866842569,,
lodo_004,ridge_identity,7535,402.1616700265868,389.5440428499585,-5120.9267719890095,0.0061137945935292835,0.013993673103182155
lodo_004__1_unseen,ridge_identity,7535,402.1616700265868,389.5440428499585,-5120.9267719890095,0.0061137945935292835,0.013993673103182155
lodo_005,mean,7426,68.48141142079422,68.23087842768082,-135.92190122885447,,
lodo_005__1_unseen,mean,7426,68.48141142079422,68.23087842768082,-135.92190122885447,,
lodo_005,ridge_identity,7426,413.9082562719541,388.4770699407058,-5000.907940513552,0.011558583154964257,0.03279156543659216
lodo_005__1_unseen,ridge_identity,7426,413.9082562719541,388.4770699407058,-5000.907940513552,0.011558583154964257,0.03279156543659216
lodo_006,mean,7246,68.76186173146787,68.52950275560151,-147.21514338048965,,
lodo_006__1_unseen,mean,7246,68.76186173146787,68.52950275560151,-147.21514338048965,,
lodo_006,ridge_identity,7246,400.2401571773977,387.54839253289583,-5020.559880528981,-0.010876637393710784,0.07464078474853716
lodo_006__1_unseen,ridge_identity,7246,400.2401571773977,387.54839253289583,-5020.559880528981,-0.010876637393710784,0.07464078474853716
lodo_007,mean,7118,72.2862142263657,71.91557056094905,-96.76507621228151,,
lodo_007__1_unseen,mean,7118,72.2862142263657,71.91557056094905,-96.76507621228151,,
lodo_007,ridge_identity,7118,429.361953505919,394.2092103234221,-3448.21208192383,-0.0009601147295672623,0.010457886030247302
lodo_007__1_unseen,ridge_identity,7118,429.361953505919,394.2092103234221,-3448.21208192383,-0.0009601147295672623,0.010457886030247302
lodo_008,mean,7107,74.678716727201,74.0807336977652,-61.693175589222236,,
lodo_008__1_unseen,mean,7107,74.678716727201,74.0807336977652,-61.693175589222236,,
lodo_008,ridge_identity,7107,399.99081942019166,393.25211501966777,-1797.5670084703188,0.007369903993629938,0.12156965299252272
lodo_008__1_unseen,ridge_identity,7107,399.99081942019166,393.25211501966777,-1797.5670084703188,0.007369903993629938,0.12156965299252272
lodo_009,mean,7020,70.61853909843806,70.34660188419916,-128.494427345483,,
lodo_009__1_unseen,mean,7020,70.61853909843806,70.34660188419916,-128.494427345483,,
lodo_009,ridge_identity,7020,416.5455238935764,391.86126967141394,-4504.454057090332,-0.019104324518703416,0.041085179363755296
lodo_009__1_unseen,ridge_identity,7020,416.5455238935764,391.86126967141394,-4504.454057090332,-0.019104324518703416,0.041085179363755296
