split,held_out,model,subset,fit_predict_seconds,n_test,rmse,mae,r2,pearson,spearman
random,,mean,all,0.00038933753967285156,81093,4023.018456089098,123.76496956542083,-4.109088938841765e-05,,
random,,mean,central_abs_le_100,0.00038933753967285156,80991,75.22942164975932,74.57912545058682,-56.4822905411704,,
random,,median,all,0.0022499561309814453,81093,4023.2236349650457,55.34037105987854,-0.0001431001352181216,,
random,,median,central_abs_le_100,0.0022499561309814453,80991,9.944425044536407,5.984394243706875,-0.004426070684406369,,
random,,ridge,all,0.06643795967102051,81093,4123.188889470949,179.47628793199567,-0.05046178360092468,0.09768115569792454,0.06775016889722663
random,,ridge,central_abs_le_100,0.06643795967102051,80991,1361.2532527038122,130.97485138188352,-18819.730692350993,0.023514021784775387,0.06783435453041481
random,,random_forest,all,0.4877607822418213,81093,4014.9408660130625,120.95813696199436,0.003970728832187409,0.06329956878804574,0.21439622454296658
random,,random_forest,central_abs_le_100,0.4877607822418213,80991,257.7748530520281,71.9814753765343,-673.9004462068519,0.02753486431048495,0.21236756337601273
random,,extra_trees,all,0.3390047550201416,81093,4022.259788415441,120.19420999432579,0.0003360524510691576,0.052375449254567975,0.05075369451470671
random,,extra_trees,central_abs_le_100,0.3390047550201416,80991,412.5836673046153,71.27617024386464,-1727.9509915031613,0.01605886216950917,0.04860063699203332
random,,xgboost,all,0.3234066963195801,81093,5499.227491171267,127.99610660186417,-0.86860353896969,0.028200772036880654,0.03475491874233904
random,,xgboost,central_abs_le_100,0.3234066963195801,80991,3824.8305942169463,77.92050777900698,-148586.75754634893,0.008151180678617696,0.030698397562838646
random,,ridge_clip_train,all,0.07433700561523438,81093,4023.144117246683,54.62499903538006,-0.00010356551390877655,0.01702163634112192,0.39740218909481656
random,,ridge_clip_train,central_abs_le_100,0.07433700561523438,80991,8.572419700777296,5.281855293500968,0.2536105867579812,0.5042484949614434,0.39581007682720354
random,,xgboost_clip_train,all,0.43080878257751465,81093,4023.1926864234442,54.76541015221498,-0.00012771304561143282,0.00925071838924699,0.3418254245202733
random,,xgboost_clip_train,central_abs_le_100,0.43080878257751465,80991,8.70918662636775,5.426876091698216,0.22960436511270665,0.48242008308663226,0.33966288538368755
lodo_000,RUXOLITINIB,mean,all,0.0003600120544433594,9660,69.34180873318982,67.6110360398431,-8.91827138454185,,
lodo_000,RUXOLITINIB,mean,central_abs_le_100,0.0003600120544433594,9599,67.93846985671306,67.14819371912725,-38.08131934867559,,
lodo_000,RUXOLITINIB,mean,exactly_one_unseen,0.0003600120544433594,9660,69.34180873318982,67.6110360398431,-8.91827138454185,,
lodo_000,RUXOLITINIB,median,all,0.001978158950805664,9660,22.494928751849134,8.00247552795031,-0.04379424918046415,,
lodo_000,RUXOLITINIB,median,central_abs_le_100,0.001978158950805664,9599,11.356760059644442,6.713698859256173,-0.09206023821436382,,
lodo_000,RUXOLITINIB,median,exactly_one_unseen,0.001978158950805664,9660,22.494928751849134,8.00247552795031,-0.04379424918046415,,
lodo_000,RUXOLITINIB,ridge,all,0.12975692749023438,9660,2854.149149240085,556.1953491652794,-16802.47036646293,0.08959248733808953,-0.08808175208400401
lodo_000,RUXOLITINIB,ridge,central_abs_le_100,0.12975692749023438,9599,2805.546925497344,548.7835452687412,-66644.7973704682,0.16273224567647782,-0.07878898253291317
lodo_000,RUXOLITINIB,ridge,exactly_one_unseen,0.12975692749023438,9660,2854.149149240085,556.1953491652794,-16802.47036646293,0.08959248733808953,-0.08808175208400401
lodo_000,RUXOLITINIB,random_forest,all,0.4788329601287842,9660,355.6886670339117,54.97396851579765,-259.9670712461782,0.001717467241291573,0.2229995958029617
lodo_000,RUXOLITINIB,random_forest,central_abs_le_100,0.4788329601287842,9599,356.4663241748469,54.33937907596433,-1074.90694205999,0.003934766616121305,0.2152606254697697
lodo_000,RUXOLITINIB,random_forest,exactly_one_unseen,0.4788329601287842,9660,355.6886670339117,54.97396851579765,-259.9670712461782,0.001717467241291573,0.2229995958029617
